CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;19/08/2024;1;0,331;R
ES0022000004433403RW1P;19/08/2024;2;0,252;R
ES0022000004433403RW1P;19/08/2024;3;0,208;R
ES0022000004433403RW1P;19/08/2024;4;0,206;R
ES0022000004433403RW1P;19/08/2024;5;0,211;R
ES0022000004433403RW1P;19/08/2024;6;0,199;R
ES0022000004433403RW1P;19/08/2024;7;0,200;R
ES0022000004433403RW1P;19/08/2024;8;0,319;R
ES0022000004433403RW1P;19/08/2024;9;0,386;R
ES0022000004433403RW1P;19/08/2024;10;0,195;R
ES0022000004433403RW1P;19/08/2024;11;0,141;R
ES0022000004433403RW1P;19/08/2024;12;0,152;R
ES0022000004433403RW1P;19/08/2024;13;0,149;R
ES0022000004433403RW1P;19/08/2024;14;0,233;R
ES0022000004433403RW1P;19/08/2024;15;0,637;R
ES0022000004433403RW1P;19/08/2024;16;0,452;R
ES0022000004433403RW1P;19/08/2024;17;0,994;R
ES0022000004433403RW1P;19/08/2024;18;0,763;R
ES0022000004433403RW1P;19/08/2024;19;0,369;R
ES0022000004433403RW1P;19/08/2024;20;0,361;R
ES0022000004433403RW1P;19/08/2024;21;0,953;R
ES0022000004433403RW1P;19/08/2024;22;0,548;R
ES0022000004433403RW1P;19/08/2024;23;0,596;R
ES0022000004433403RW1P;19/08/2024;24;0,468;R
ES0022000004433403RW1P;20/08/2024;1;0,362;R
ES0022000004433403RW1P;20/08/2024;2;0,330;R
ES0022000004433403RW1P;20/08/2024;3;0,245;R
ES0022000004433403RW1P;20/08/2024;4;0,217;R
ES0022000004433403RW1P;20/08/2024;5;0,203;R
ES0022000004433403RW1P;20/08/2024;6;0,197;R
ES0022000004433403RW1P;20/08/2024;7;0,204;R
ES0022000004433403RW1P;20/08/2024;8;0,211;R
ES0022000004433403RW1P;20/08/2024;9;0,306;R
ES0022000004433403RW1P;20/08/2024;10;0,333;R
ES0022000004433403RW1P;20/08/2024;11;0,316;R
ES0022000004433403RW1P;20/08/2024;12;0,193;R
ES0022000004433403RW1P;20/08/2024;13;0,154;R
ES0022000004433403RW1P;20/08/2024;14;0,433;R
ES0022000004433403RW1P;20/08/2024;15;0,464;R
ES0022000004433403RW1P;20/08/2024;16;0,400;R
ES0022000004433403RW1P;20/08/2024;17;0,336;R
ES0022000004433403RW1P;20/08/2024;18;0,496;R
ES0022000004433403RW1P;20/08/2024;19;0,564;R
ES0022000004433403RW1P;20/08/2024;20;0,877;R
ES0022000004433403RW1P;20/08/2024;21;2,181;R
ES0022000004433403RW1P;20/08/2024;22;0,598;R
ES0022000004433403RW1P;20/08/2024;23;0,444;R
ES0022000004433403RW1P;20/08/2024;24;0,427;R
ES0022000004433403RW1P;21/08/2024;1;0,343;R
ES0022000004433403RW1P;21/08/2024;2;0,186;R
ES0022000004433403RW1P;21/08/2024;3;0,173;R
