CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;25/07/2024;1;0,349;R
ES0022000004433403RW1P;25/07/2024;2;0,299;R
ES0022000004433403RW1P;25/07/2024;3;0,256;R
ES0022000004433403RW1P;25/07/2024;4;0,230;R
ES0022000004433403RW1P;25/07/2024;5;0,218;R
ES0022000004433403RW1P;25/07/2024;6;0,235;R
ES0022000004433403RW1P;25/07/2024;7;0,209;R
ES0022000004433403RW1P;25/07/2024;8;0,226;R
ES0022000004433403RW1P;25/07/2024;9;0,226;R
ES0022000004433403RW1P;25/07/2024;10;0,258;R
ES0022000004433403RW1P;25/07/2024;11;0,455;R
ES0022000004433403RW1P;25/07/2024;12;0,479;R
ES0022000004433403RW1P;25/07/2024;13;1,046;R
ES0022000004433403RW1P;25/07/2024;14;1,408;R
ES0022000004433403RW1P;25/07/2024;15;0,677;R
ES0022000004433403RW1P;25/07/2024;16;1,659;R
ES0022000004433403RW1P;25/07/2024;17;0,673;R
ES0022000004433403RW1P;25/07/2024;18;0,466;R
ES0022000004433403RW1P;25/07/2024;19;0,603;R
ES0022000004433403RW1P;25/07/2024;20;0,624;R
ES0022000004433403RW1P;25/07/2024;21;1,352;R
ES0022000004433403RW1P;25/07/2024;22;1,565;R
ES0022000004433403RW1P;25/07/2024;23;0,571;R
ES0022000004433403RW1P;25/07/2024;24;1,212;R
ES0022000004433403RW1P;26/07/2024;1;0,548;R
ES0022000004433403RW1P;26/07/2024;2;0,343;R
ES0022000004433403RW1P;26/07/2024;3;0,291;R
ES0022000004433403RW1P;26/07/2024;4;0,206;R
ES0022000004433403RW1P;26/07/2024;5;0,197;R
ES0022000004433403RW1P;26/07/2024;6;0,193;R
ES0022000004433403RW1P;26/07/2024;7;0,192;R
ES0022000004433403RW1P;26/07/2024;8;0,281;R
ES0022000004433403RW1P;26/07/2024;9;0,200;R
ES0022000004433403RW1P;26/07/2024;10;0,206;R
ES0022000004433403RW1P;26/07/2024;11;0,341;R
ES0022000004433403RW1P;26/07/2024;12;0,294;R
ES0022000004433403RW1P;26/07/2024;13;0,309;R
ES0022000004433403RW1P;26/07/2024;14;0,176;R
