CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;01/04/2022;1;0,109;R
ES0022000004433403RW1P;01/04/2022;2;0,096;R
ES0022000004433403RW1P;01/04/2022;3;0,095;R
ES0022000004433403RW1P;01/04/2022;4;0,093;R
ES0022000004433403RW1P;01/04/2022;5;0,095;R
ES0022000004433403RW1P;01/04/2022;6;0,099;R
ES0022000004433403RW1P;01/04/2022;7;0,337;R
ES0022000004433403RW1P;01/04/2022;8;0,206;R
ES0022000004433403RW1P;01/04/2022;9;1,305;R
ES0022000004433403RW1P;01/04/2022;10;0,923;R
ES0022000004433403RW1P;01/04/2022;11;0,220;E
ES0022000004433403RW1P;01/04/2022;12;0,211;E
ES0022000004433403RW1P;01/04/2022;13;0,347;E
ES0022000004433403RW1P;01/04/2022;14;0,621;E
ES0022000004433403RW1P;01/04/2022;15;0,320;R
ES0022000004433403RW1P;01/04/2022;16;0,311;R
ES0022000004433403RW1P;01/04/2022;17;0,210;R
ES0022000004433403RW1P;01/04/2022;18;0,205;R
ES0022000004433403RW1P;01/04/2022;19;0,404;E
ES0022000004433403RW1P;01/04/2022;20;0,420;E
ES0022000004433403RW1P;01/04/2022;21;1,154;E
ES0022000004433403RW1P;01/04/2022;22;0,581;E
ES0022000004433403RW1P;01/04/2022;23;0,444;R
ES0022000004433403RW1P;01/04/2022;24;0,266;R
ES0022000004433403RW1P;02/04/2022;1;0,218;R
ES0022000004433403RW1P;02/04/2022;2;0,179;R
ES0022000004433403RW1P;02/04/2022;3;0,163;R
ES0022000004433403RW1P;02/04/2022;4;0,148;R
ES0022000004433403RW1P;02/04/2022;5;0,179;R
ES0022000004433403RW1P;02/04/2022;6;0,173;R
ES0022000004433403RW1P;02/04/2022;7;0,157;R
ES0022000004433403RW1P;02/04/2022;8;0,146;R
ES0022000004433403RW1P;02/04/2022;9;0,181;R
ES0022000004433403RW1P;02/04/2022;10;0,188;R
ES0022000004433403RW1P;02/04/2022;11;0,892;R
ES0022000004433403RW1P;02/04/2022;12;0,839;R
ES0022000004433403RW1P;02/04/2022;13;0,907;R
ES0022000004433403RW1P;02/04/2022;14;0,943;R
ES0022000004433403RW1P;02/04/2022;15;0,781;R
ES0022000004433403RW1P;02/04/2022;16;0,384;R
ES0022000004433403RW1P;02/04/2022;17;0,222;R
ES0022000004433403RW1P;02/04/2022;18;0,189;R
ES0022000004433403RW1P;02/04/2022;19;0,185;R
ES0022000004433403RW1P;02/04/2022;20;0,153;R
ES0022000004433403RW1P;02/04/2022;21;0,165;R
ES0022000004433403RW1P;02/04/2022;22;0,892;R
ES0022000004433403RW1P;02/04/2022;23;2,069;R
ES0022000004433403RW1P;02/04/2022;24;1,518;R
ES0022000004433403RW1P;03/04/2022;1;0,640;R
ES0022000004433403RW1P;03/04/2022;2;0,127;R
ES0022000004433403RW1P;03/04/2022;3;0,107;R
ES0022000004433403RW1P;03/04/2022;4;0,105;R
ES0022000004433403RW1P;03/04/2022;5;0,108;R
ES0022000004433403RW1P;03/04/2022;6;0,095;R
ES0022000004433403RW1P;03/04/2022;7;0,074;R
ES0022000004433403RW1P;03/04/2022;8;0,111;R
ES0022000004433403RW1P;03/04/2022;9;0,107;R
ES0022000004433403RW1P;03/04/2022;10;0,435;R
ES0022000004433403RW1P;03/04/2022;11;0,708;R
ES0022000004433403RW1P;03/04/2022;12;0,436;R
ES0022000004433403RW1P;03/04/2022;13;0,397;R
ES0022000004433403RW1P;03/04/2022;14;0,491;R
ES0022000004433403RW1P;03/04/2022;15;0,203;R
ES0022000004433403RW1P;03/04/2022;16;0,230;R
ES0022000004433403RW1P;03/04/2022;17;0,213;R
ES0022000004433403RW1P;03/04/2022;18;0,178;R
ES0022000004433403RW1P;03/04/2022;19;0,217;R
ES0022000004433403RW1P;03/04/2022;20;0,216;R
ES0022000004433403RW1P;03/04/2022;21;1,147;R
ES0022000004433403RW1P;03/04/2022;22;1,114;R
ES0022000004433403RW1P;03/04/2022;23;1,187;R
ES0022000004433403RW1P;03/04/2022;24;0,867;R
ES0022000004433403RW1P;04/04/2022;1;0,348;R
ES0022000004433403RW1P;04/04/2022;2;0,060;R
ES0022000004433403RW1P;04/04/2022;3;0,103;R
ES0022000004433403RW1P;04/04/2022;4;0,095;R
ES0022000004433403RW1P;04/04/2022;5;0,084;R
