CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;30/08/2024;1;0,214;R
ES0022000004433403RW1P;30/08/2024;2;0,208;R
ES0022000004433403RW1P;30/08/2024;3;0,239;R
ES0022000004433403RW1P;30/08/2024;4;0,152;R
ES0022000004433403RW1P;30/08/2024;5;0,121;R
ES0022000004433403RW1P;30/08/2024;6;0,133;R
ES0022000004433403RW1P;30/08/2024;7;0,118;R
ES0022000004433403RW1P;30/08/2024;8;0,126;R
ES0022000004433403RW1P;30/08/2024;9;0,133;R
ES0022000004433403RW1P;30/08/2024;10;0,934;R
ES0022000004433403RW1P;30/08/2024;11;0,887;R
ES0022000004433403RW1P;30/08/2024;12;0,472;R
ES0022000004433403RW1P;30/08/2024;13;1,189;R
ES0022000004433403RW1P;30/08/2024;14;1,088;R
ES0022000004433403RW1P;30/08/2024;15;0,780;R
ES0022000004433403RW1P;30/08/2024;16;0,558;R
ES0022000004433403RW1P;30/08/2024;17;0,489;R
ES0022000004433403RW1P;30/08/2024;18;0,379;R
ES0022000004433403RW1P;30/08/2024;19;0,795;R
ES0022000004433403RW1P;30/08/2024;20;0,771;R
ES0022000004433403RW1P;30/08/2024;21;0,823;R
ES0022000004433403RW1P;30/08/2024;22;1,362;R
ES0022000004433403RW1P;30/08/2024;23;0,456;R
ES0022000004433403RW1P;30/08/2024;24;0,495;R
ES0022000004433403RW1P;31/08/2024;1;0,327;R
ES0022000004433403RW1P;31/08/2024;2;0,264;R
ES0022000004433403RW1P;31/08/2024;3;0,222;R
ES0022000004433403RW1P;31/08/2024;4;0,205;R
ES0022000004433403RW1P;31/08/2024;5;0,199;R
ES0022000004433403RW1P;31/08/2024;6;0,180;R
ES0022000004433403RW1P;31/08/2024;7;0,196;R
ES0022000004433403RW1P;31/08/2024;8;0,275;R
ES0022000004433403RW1P;31/08/2024;9;0,208;R
ES0022000004433403RW1P;31/08/2024;10;0,319;R
ES0022000004433403RW1P;31/08/2024;11;0,330;R
ES0022000004433403RW1P;31/08/2024;12;1,004;R
ES0022000004433403RW1P;31/08/2024;13;0,686;R
ES0022000004433403RW1P;31/08/2024;14;0,799;R
ES0022000004433403RW1P;31/08/2024;15;0,405;R
ES0022000004433403RW1P;31/08/2024;16;0,338;R
ES0022000004433403RW1P;31/08/2024;17;0,290;R
ES0022000004433403RW1P;31/08/2024;18;0,312;R
ES0022000004433403RW1P;31/08/2024;19;0,289;R
ES0022000004433403RW1P;31/08/2024;20;0,258;R
ES0022000004433403RW1P;31/08/2024;21;0,507;R
ES0022000004433403RW1P;31/08/2024;22;0,748;R
ES0022000004433403RW1P;31/08/2024;23;0,456;R
ES0022000004433403RW1P;31/08/2024;24;0,256;R
ES0022000004433403RW1P;01/09/2024;1;0,164;R
ES0022000004433403RW1P;01/09/2024;2;0,127;R
ES0022000004433403RW1P;01/09/2024;3;0,128;R
ES0022000004433403RW1P;01/09/2024;4;0,123;R
ES0022000004433403RW1P;01/09/2024;5;0,118;R
ES0022000004433403RW1P;01/09/2024;6;0,119;R
ES0022000004433403RW1P;01/09/2024;7;0,118;R
ES0022000004433403RW1P;01/09/2024;8;0,118;R
ES0022000004433403RW1P;01/09/2024;9;0,183;R
ES0022000004433403RW1P;01/09/2024;10;0,324;R
ES0022000004433403RW1P;01/09/2024;11;0,344;R
ES0022000004433403RW1P;01/09/2024;12;0,312;R
ES0022000004433403RW1P;01/09/2024;13;0,313;R
ES0022000004433403RW1P;01/09/2024;14;2,489;R
ES0022000004433403RW1P;01/09/2024;15;1,324;R
ES0022000004433403RW1P;01/09/2024;16;0,488;R
ES0022000004433403RW1P;01/09/2024;17;0,551;R
ES0022000004433403RW1P;01/09/2024;18;0,473;R
ES0022000004433403RW1P;01/09/2024;19;0,445;R
ES0022000004433403RW1P;01/09/2024;20;0,393;R
ES0022000004433403RW1P;01/09/2024;21;0,920;R
ES0022000004433403RW1P;01/09/2024;22;1,998;R
ES0022000004433403RW1P;01/09/2024;23;1,285;R
ES0022000004433403RW1P;01/09/2024;24;0,479;R
ES0022000004433403RW1P;02/09/2024;1;0,302;R
ES0022000004433403RW1P;02/09/2024;2;0,192;R
ES0022000004433403RW1P;02/09/2024;3;0,127;R
ES0022000004433403RW1P;02/09/2024;4;0,124;R
ES0022000004433403RW1P;02/09/2024;5;0,113;R
ES0022000004433403RW1P;02/09/2024;6;0,112;R
ES0022000004433403RW1P;02/09/2024;7;0,120;R
ES0022000004433403RW1P;02/09/2024;8;0,111;R
ES0022000004433403RW1P;02/09/2024;9;0,167;R
ES0022000004433403RW1P;02/09/2024;10;0,279;R
ES0022000004433403RW1P;02/09/2024;11;2,958;R
ES0022000004433403RW1P;02/09/2024;12;2,584;R
ES0022000004433403RW1P;02/09/2024;13;0,545;R
ES0022000004433403RW1P;02/09/2024;14;1,172;R
ES0022000004433403RW1P;02/09/2024;15;0,497;R
ES0022000004433403RW1P;02/09/2024;16;0,381;R
ES0022000004433403RW1P;02/09/2024;17;0,315;R
ES0022000004433403RW1P;02/09/2024;18;0,257;R
ES0022000004433403RW1P;02/09/2024;19;0,268;R
ES0022000004433403RW1P;02/09/2024;20;0,796;R
ES0022000004433403RW1P;02/09/2024;21;2,163;R
ES0022000004433403RW1P;02/09/2024;22;1,186;R
ES0022000004433403RW1P;02/09/2024;23;0,494;R
ES0022000004433403RW1P;02/09/2024;24;0,349;R
ES0022000004433403RW1P;03/09/2024;1;0,174;R
ES0022000004433403RW1P;03/09/2024;2;0,134;R
ES0022000004433403RW1P;03/09/2024;3;0,129;R
ES0022000004433403RW1P;03/09/2024;4;0,121;R
ES0022000004433403RW1P;03/09/2024;5;0,116;R
ES0022000004433403RW1P;03/09/2024;6;0,108;R
ES0022000004433403RW1P;03/09/2024;7;0,110;R
ES0022000004433403RW1P;03/09/2024;8;0,177;R
ES0022000004433403RW1P;03/09/2024;9;0,107;R
ES0022000004433403RW1P;03/09/2024;10;0,254;R
ES0022000004433403RW1P;03/09/2024;11;0,199;R
ES0022000004433403RW1P;03/09/2024;12;0,247;R
ES0022000004433403RW1P;03/09/2024;13;0,406;R
ES0022000004433403RW1P;03/09/2024;14;0,917;R
ES0022000004433403RW1P;03/09/2024;15;0,904;R
ES0022000004433403RW1P;03/09/2024;16;0,372;R
ES0022000004433403RW1P;03/09/2024;17;1,113;R
ES0022000004433403RW1P;03/09/2024;18;0,783;R
ES0022000004433403RW1P;03/09/2024;19;0,312;R
ES0022000004433403RW1P;03/09/2024;20;0,312;R
ES0022000004433403RW1P;03/09/2024;21;0,696;R
ES0022000004433403RW1P;03/09/2024;22;0,849;R
ES0022000004433403RW1P;03/09/2024;23;0,458;R
ES0022000004433403RW1P;03/09/2024;24;0,534;R
ES0022000004433403RW1P;04/09/2024;1;0,266;R
ES0022000004433403RW1P;04/09/2024;2;0,156;R
ES0022000004433403RW1P;04/09/2024;3;0,135;R
ES0022000004433403RW1P;04/09/2024;4;0,131;R
